Date,Area,Building_name,Loop,Type,Usage
2017/01/16,北區,體育館,主迴路,行政,1198.5
2016/10/30,南區,土木結構,主迴路,教學,1198.5
2017/04/17,北區,管理一館,主迴路,教學,1198.75
2017/05/22,北區,管理一館,主迴路,教學,1198.88
2016/11/11,南區,研究生二舍,主迴路,宿舍,1199
2016/09/28,北區,第二餐廳,1F動力1,外租,1199.25
2016/12/15,北區,學生十舍,主迴路,宿舍,1199.56
2017/02/10,北區,環保大樓,主迴路,教學,1199.6
2017/04/14,北區,體育館,主迴路,行政,1199.69
2016/11/11,北區,學生九舍,主迴路,宿舍,1199.88
2017/05/29,南區,土木結構,主迴路,教學,1200
2016/12/01,北區,學生十舍,主迴路,宿舍,1200.22
2016/12/14,南區,研究生二舍,主迴路,宿舍,1201
2017/02/15,北區,環保大樓,主迴路,教學,1201.09
2017/06/19,北區,體育館,主迴路,行政,1201.25
2017/07/30,北區,第二餐廳,1F動力1,外租,1201.75
2016/10/31,北區,第二餐廳,1F動力1,外租,1201.88
2017/01/12,南區,研究生二舍,主迴路,宿舍,1202
2016/12/26,南區,研究生二舍,主迴路,宿舍,1202
2017/05/05,南區,服務大樓,主迴路,行政,1202.25
2017/01/23,南區,研究生二舍,主迴路,宿舍,1203
2016/09/16,南區,綜合一館,主迴路,教學,1203
2017/01/24,北區,科學一館,主迴路,教學,1203.06
2017/03/28,北區,學生十舍,主迴路,宿舍,1203.38
2016/12/13,北區,電資大樓,空調,行政,1203.5
2017/08/23,北區,中正堂,主迴路,行政,1203.56
2016/09/03,北區,科學一館,主迴路,教學,1203.56
2017/01/17,北區,科學一館,主迴路,教學,1203.94
2017/05/07,北區,科學一館,主迴路,教學,1204
2017/04/30,南區,綜合一館,主迴路,教學,1204
2017/04/12,南區,研究生二舍,主迴路,宿舍,1204
